Iteration,Min Colors,Avg Colors
0,14,15.280000
1,14,15.360000
2,14,15.320000
3,14,15.340000
4,14,15.420000
5,13,15.220000
6,13,15.370000
7,13,15.250000
8,13,15.250000
9,13,15.310000
10,13,15.250000
11,13,15.320000
12,13,15.390000
13,13,15.340000
14,13,15.240000
15,13,15.270000
16,13,15.130000
17,13,15.300000
18,13,15.350000
19,13,15.190000
20,13,15.330000
21,13,15.300000
22,13,15.230000
23,13,15.350000
24,13,15.300000
25,13,15.320000
26,13,15.310000
27,13,15.240000
28,13,15.210000
29,13,15.260000
30,13,15.200000
31,13,15.290000
32,13,15.300000
33,13,15.250000
34,13,15.240000
35,13,15.340000
36,13,15.290000
37,13,15.300000
38,13,15.120000
39,13,15.390000
40,13,15.280000
41,13,15.280000
42,13,15.320000
43,13,15.370000
44,13,15.190000
45,13,15.300000
46,13,15.300000
47,13,15.310000
48,13,15.300000
49,13,15.270000
50,13,15.260000
51,13,15.180000
52,13,15.210000
53,13,15.240000
54,13,15.340000
55,13,15.480000
56,13,15.410000
57,13,15.220000
58,13,15.320000
59,13,15.290000
60,13,15.310000
61,13,15.230000
62,13,15.240000
63,13,15.180000
64,13,15.280000
65,13,15.340000
66,13,15.190000
67,13,15.230000
68,13,15.290000
69,13,15.230000
70,13,15.350000
71,13,15.260000
72,13,15.460000
73,13,15.150000
74,13,15.250000
75,13,15.280000
76,13,15.220000
77,13,15.290000
78,13,15.240000
79,13,15.350000
80,13,15.300000
81,13,15.260000
82,13,15.130000
83,13,15.150000
84,13,15.300000
85,13,15.130000
86,13,15.460000
87,13,15.350000
88,13,15.260000
89,13,15.300000
90,13,15.260000
91,13,15.350000
92,13,15.380000
93,13,15.240000
94,13,15.430000
95,13,15.270000
96,13,15.330000
97,13,15.390000
98,13,15.230000
99,13,15.170000
100,13,15.220000
101,13,15.360000
102,13,15.360000
103,13,15.170000
104,13,15.330000
105,13,15.310000
106,13,15.330000
107,13,15.370000
108,13,15.420000
109,13,15.330000
110,13,15.260000
111,13,15.210000
112,13,15.380000
113,13,15.340000
114,13,15.200000
115,13,15.380000
116,13,15.190000
117,13,15.230000
118,13,15.290000
119,13,15.280000
120,13,15.250000
121,13,15.260000
122,13,15.210000
123,13,15.160000
124,13,15.310000
125,13,15.340000
126,13,15.340000
127,13,15.310000
128,13,15.260000
129,13,15.310000
130,13,15.390000
131,13,15.320000
132,13,15.270000
133,13,15.330000
134,13,15.280000
135,13,15.190000
136,13,15.470000
137,13,15.220000
138,13,15.230000
139,13,15.270000
140,13,15.290000
141,13,15.290000
142,13,15.250000
143,13,15.360000
144,13,15.320000
145,13,15.250000
146,13,15.290000
147,13,15.310000
148,13,15.320000
149,13,15.300000
150,13,15.420000
151,13,15.290000
152,13,15.260000
153,13,15.370000
154,13,15.320000
155,13,15.250000
156,13,15.250000
157,13,15.230000
158,13,15.290000
159,13,15.370000
160,13,15.330000
161,13,15.270000
162,13,15.330000
163,13,15.340000
164,13,15.300000
165,13,15.390000
166,13,15.360000
167,13,15.280000
168,13,15.300000
169,13,15.240000
170,13,15.420000
171,13,15.190000
172,13,15.230000
173,13,15.340000
174,13,15.260000
175,13,15.310000
176,13,15.250000
177,13,15.270000
178,13,15.440000
179,13,15.220000
180,13,15.210000
181,13,15.310000
182,13,15.310000
183,13,15.510000
184,13,15.220000
185,13,15.340000
186,13,15.130000
187,13,15.230000
188,13,15.140000
189,13,15.240000
190,13,15.310000
191,13,15.350000
192,13,15.270000
193,13,15.220000
194,13,15.350000
195,13,15.280000
196,13,15.360000
197,13,15.370000
198,13,15.380000
199,13,15.290000
200,13,15.430000
201,13,15.400000
202,13,15.170000
203,13,15.460000
204,13,15.300000
205,13,15.250000
206,13,15.290000
207,13,15.210000
208,13,15.210000
209,13,15.270000
210,13,15.280000
211,13,15.390000
212,13,15.270000
213,13,15.130000
214,13,15.320000
215,13,15.350000
216,13,15.290000
217,13,15.240000
218,13,15.300000
219,13,15.260000
220,13,15.310000
221,13,15.230000
222,13,15.350000
223,13,15.180000
224,13,15.270000
225,13,15.320000
226,13,15.300000
227,13,15.230000
228,13,15.380000
229,13,15.240000
230,13,15.270000
231,13,15.400000
232,13,15.190000
233,13,15.260000
234,13,15.290000
235,13,15.270000
236,13,15.300000
237,13,15.240000
238,13,15.300000
239,13,15.300000
240,13,15.380000
241,13,15.330000
242,13,15.330000
243,13,15.350000
244,13,15.310000
245,13,15.260000
246,13,15.320000
247,13,15.170000
248,13,15.320000
249,13,15.410000
250,13,15.260000
251,13,15.150000
252,13,15.300000
253,13,15.420000
254,13,15.260000
255,13,15.350000
256,13,15.320000
257,13,15.350000
258,13,15.330000
259,13,15.380000
260,13,15.260000
261,13,15.320000
262,13,15.320000
263,13,15.250000
264,13,15.170000
265,13,15.270000
266,13,15.330000
267,13,15.360000
268,13,15.370000
269,13,15.230000
270,13,15.320000
271,13,15.190000
272,13,15.300000
273,13,15.230000
274,13,15.300000
275,13,15.300000
276,13,15.310000
277,13,15.270000
278,13,15.310000
279,13,15.290000
280,13,15.320000
281,13,15.280000
282,13,15.300000
283,13,15.200000
284,13,15.260000
285,13,15.300000
286,13,15.220000
287,13,15.270000
288,13,15.310000
289,13,15.300000
290,13,15.230000
291,13,15.250000
292,13,15.320000
293,13,15.300000
294,13,15.370000
295,13,15.160000
296,13,15.260000
297,13,15.300000
298,13,15.240000
299,13,15.410000
300,13,15.350000
301,13,15.320000
302,13,15.260000
303,13,15.180000
304,13,15.320000
305,13,15.280000
306,13,15.270000
307,13,15.250000
308,13,15.280000
309,13,15.480000
310,13,15.250000
311,13,15.340000
312,13,15.220000
313,13,15.310000
314,13,15.330000
315,13,15.130000
316,13,15.170000
317,13,15.340000
318,13,15.310000
319,13,15.420000
320,13,15.320000
321,13,15.290000
322,13,15.290000
