Iteration,Min Colors,Avg Colors
0,43,44.780000
1,43,44.810000
2,43,44.860000
3,42,44.700000

Obtained Coloration:
13 26 13 17 14 32 34 5 15 6 12 5 10 32 0 9 1 9 18 36 3 5 3 11 40 6 24 17 1 41 10 17 6 3 4 0 7 19 26 11 28 7 8 22 29 18 0 10 8 11 2 22 1 5 21 2 15 12 10 5 32 9 16 7 15 37 6 35 38 18 14 4 19 28 30 0 12 30 33 3 0 24 14 8 5 4 8 23 38 20 39 2 33 7 4 34 7 16 16 10 13 29 19 2 1 0 25 31 14 12 31 2 27 11 3 20 25 10 2 8 0 1 21 4 27 15 13 4 
Obtained Chromatic number: 42
Known Chromatic number: 42
Chromatic Coloration found
Time Taken = 0.039094
