Iteration,Fitness,AVG Fitness,Conflicts,Total Color
0,14.200000,11.844000,1,4
1,14.400000,12.124000,0,5
2,14.400000,12.138000,0,5
3,14.400000,12.152000,0,5
4,14.400000,12.162000,0,5
5,14.400000,12.204000,0,5
6,14.400000,12.190000,0,5
7,14.400000,12.186000,0,5
8,14.400000,12.198000,0,5
9,14.400000,12.198000,0,5
10,14.400000,12.180000,0,5
11,14.400000,12.194000,0,5
12,14.400000,12.194000,0,5
13,14.400000,12.188000,0,5
14,14.400000,12.180000,0,5
15,14.400000,12.178000,0,5
16,14.400000,12.212000,0,5
17,14.400000,12.190000,0,5
18,14.400000,12.220000,0,5
19,14.400000,12.210000,0,5
20,14.400000,12.198000,0,5
21,14.400000,12.198000,0,5
22,14.400000,12.206000,0,5
23,14.400000,12.212000,0,5
24,14.400000,12.212000,0,5
25,14.400000,12.220000,0,5
26,14.400000,12.212000,0,5
27,14.400000,12.218000,0,5
28,14.400000,12.230000,0,5
29,14.400000,12.232000,0,5
30,14.400000,12.228000,0,5
31,14.400000,12.228000,0,5
32,14.400000,12.218000,0,5
33,14.400000,12.196000,0,5
34,14.400000,12.182000,0,5
35,14.400000,12.182000,0,5
36,14.400000,12.182000,0,5
37,14.400000,12.194000,0,5
38,14.400000,12.210000,0,5
39,14.400000,12.210000,0,5
40,14.400000,12.206000,0,5
41,14.400000,12.210000,0,5
42,14.400000,12.226000,0,5
43,14.400000,12.200000,0,5
44,14.400000,12.198000,0,5
45,14.400000,12.200000,0,5
46,14.400000,12.196000,0,5
47,14.400000,12.176000,0,5
48,14.400000,12.198000,0,5
49,14.400000,12.190000,0,5
50,14.400000,12.184000,0,5
51,14.400000,12.206000,0,5
52,14.400000,12.210000,0,5
53,14.400000,12.204000,0,5
54,14.400000,12.198000,0,5
55,14.400000,12.178000,0,5
56,14.400000,12.182000,0,5
57,14.400000,12.218000,0,5
58,14.400000,12.208000,0,5
59,14.400000,12.206000,0,5
60,14.400000,12.214000,0,5
61,14.400000,12.188000,0,5
62,14.400000,12.190000,0,5
63,14.400000,12.206000,0,5
64,14.400000,12.190000,0,5
65,14.400000,12.216000,0,5
66,14.400000,12.198000,0,5
67,14.400000,12.186000,0,5
68,14.400000,12.194000,0,5
69,14.400000,12.198000,0,5
70,14.400000,12.200000,0,5
71,14.400000,12.212000,0,5
72,14.400000,12.212000,0,5
73,14.400000,12.212000,0,5
74,14.400000,12.212000,0,5
75,14.400000,12.214000,0,5
76,14.400000,12.182000,0,5
77,14.400000,12.180000,0,5
78,14.400000,12.160000,0,5
79,14.400000,12.202000,0,5
80,14.400000,12.206000,0,5
81,14.400000,12.198000,0,5
82,14.400000,12.210000,0,5
83,14.400000,12.208000,0,5
84,14.400000,12.194000,0,5
85,14.400000,12.206000,0,5
86,14.400000,12.222000,0,5
87,14.400000,12.230000,0,5
