Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
126,98.000000,89.256000,75.250000,20,5,55,5
127,98.000000,88.836000,70.400000,20,5,63,4
128,98.000000,88.792000,79.150000,20,5,49,5
129,98.000000,90.587500,81.750000,20,5,45,5
130,98.000000,88.433000,76.550000,20,5,53,5
131,98.000000,89.485500,79.800000,20,5,48,5
132,97.350000,88.086000,79.500000,21,5,49,4
133,98.000000,89.235500,80.450000,20,5,47,5
134,98.000000,90.344000,82.400000,20,5,44,5
135,98.000000,88.969000,78.200000,20,5,51,4
136,98.000000,89.281500,77.850000,20,5,51,5
137,98.000000,88.375000,77.850000,20,5,51,5
138,98.650000,89.226500,73.650000,19,5,58,4
139,98.650000,88.118000,78.500000,19,5,50,5
140,98.650000,89.269000,75.600000,19,5,55,4
141,98.650000,88.930500,78.500000,19,5,50,5
142,98.650000,88.288000,75.600000,19,5,55,4
143,98.000000,88.163500,75.600000,20,5,55,4
144,98.000000,89.443500,80.450000,20,5,47,5
145,98.000000,87.804500,70.400000,20,5,63,4
146,98.650000,89.395500,75.900000,19,5,54,5
147,98.650000,88.600000,78.850000,19,5,50,4
148,98.650000,88.797500,79.500000,19,5,49,4
149,98.650000,88.914500,76.550000,19,5,53,5
150,98.650000,88.455500,73.300000,19,5,58,5
151,98.650000,88.332500,69.400000,19,5,64,5
152,99.300000,88.547500,73.950000,18,5,57,5
153,99.300000,89.287500,80.800000,18,5,47,4
154,99.300000,89.466500,79.800000,18,5,48,5
155,98.650000,88.480000,73.650000,19,5,58,4
156,98.650000,88.605500,79.500000,19,5,49,4
157,98.650000,88.305000,75.250000,19,5,55,5
158,98.650000,87.771500,77.550000,19,5,52,4
159,98.650000,89.304500,81.750000,19,5,45,5
160,98.650000,88.683000,77.850000,19,5,51,5
161,98.650000,88.963000,75.900000,19,5,54,5
162,98.650000,88.573500,74.300000,19,5,57,4
163,98.650000,88.812000,80.450000,19,5,47,5
164,98.650000,88.281000,74.300000,19,5,57,4
165,98.650000,88.788000,79.150000,19,5,49,5
166,98.650000,88.288500,75.950000,19,5,55,3
167,98.650000,88.539500,72.700000,19,5,60,3
168,100.600000,89.895500,80.450000,16,5,47,5
