Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
126,64.800000,52.256000,41.500000,1,5,27,4
127,64.800000,51.833000,44.100000,1,5,24,5
128,64.800000,51.798000,42.300000,1,5,26,5
129,64.800000,52.652000,45.900000,1,5,22,5
130,64.800000,52.260000,43.200000,1,5,25,5
131,64.800000,52.217000,40.600000,1,5,28,4
132,64.800000,52.116000,45.900000,1,5,22,5
133,64.800000,52.465000,41.400000,1,5,27,5
134,64.800000,52.183000,42.300000,1,5,26,5
135,64.800000,52.249000,39.700000,1,5,29,4
136,64.800000,52.460000,45.000000,1,5,23,5
137,64.800000,51.804000,40.500000,1,5,28,5
138,64.800000,51.750000,43.200000,1,5,25,5
139,64.800000,52.260000,45.000000,1,5,23,5
140,64.800000,52.112000,41.400000,1,5,27,5
141,64.800000,52.117000,40.500000,1,5,28,5
142,64.800000,52.561000,44.100000,1,5,24,5
143,64.800000,52.495000,45.000000,1,5,23,5
144,64.800000,52.254000,42.400000,1,5,26,4
145,64.800000,52.115000,41.400000,1,5,27,5
146,64.800000,52.081000,40.500000,1,5,28,5
147,64.800000,52.180000,43.300000,1,5,25,4
148,64.800000,52.430000,42.300000,1,5,26,5
149,64.800000,52.017000,40.500000,1,5,28,5
150,64.800000,52.119000,44.200000,1,5,24,4
151,64.800000,52.732000,44.100000,1,5,24,5
152,64.800000,52.708000,43.300000,1,5,25,4
153,64.800000,52.927000,45.000000,1,5,23,5
154,64.800000,52.274000,43.200000,1,5,25,5
155,64.800000,52.762000,43.300000,1,5,25,4
156,64.800000,52.112000,43.200000,1,5,25,5
157,64.800000,52.800000,45.000000,1,5,23,5
158,64.800000,52.692000,40.500000,1,5,28,5
159,64.800000,52.050000,40.500000,1,5,28,5
160,64.800000,52.438000,44.100000,1,5,24,5
161,64.800000,52.197000,41.400000,1,5,27,5
162,64.800000,52.304000,37.000000,1,5,32,4
163,64.800000,52.619000,44.100000,1,5,24,5
164,64.800000,52.460000,45.100000,1,5,23,4
165,64.800000,51.642000,39.600000,1,5,29,5
166,64.800000,52.436000,45.000000,1,5,23,5
167,64.800000,52.021000,43.200000,1,5,25,5
168,64.800000,52.075000,44.200000,1,5,24,4
169,64.800000,52.063000,44.100000,1,5,24,5
170,64.800000,52.812000,41.500000,1,5,27,4
171,64.800000,51.572000,44.200000,1,5,24,4
172,64.800000,52.423000,42.300000,1,5,26,5
173,64.800000,52.328000,41.500000,1,5,27,4
174,64.800000,52.812000,41.500000,1,5,27,4
175,64.800000,52.495000,41.400000,1,5,27,5
176,64.800000,52.044000,44.100000,1,5,24,5
177,64.800000,52.666000,45.000000,1,5,23,5
178,64.800000,51.615000,43.200000,1,5,25,5
179,64.800000,53.171000,45.000000,1,5,23,5
180,64.800000,52.052000,42.300000,1,5,26,5
181,64.800000,52.493000,44.100000,1,5,24,5
182,64.800000,52.074000,42.300000,1,5,26,5
183,64.800000,52.286000,40.500000,1,5,28,5
184,64.800000,53.084000,44.100000,1,5,24,5
185,64.800000,52.574000,45.900000,1,5,22,5
186,64.800000,52.315000,44.100000,1,5,24,5
187,64.800000,53.232000,45.100000,1,5,23,4
188,64.800000,52.360000,37.800000,1,5,31,5
189,64.800000,53.546000,43.200000,1,5,25,5
190,64.800000,51.266000,38.700000,1,5,30,5
191,64.800000,51.507000,41.400000,1,5,27,5
