Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
137,81.900000,71.734000,4.340443,10,12,4
138,81.900000,71.461000,4.567442,10,12,4
139,81.900000,71.266000,4.649677,10,12,4
140,81.900000,71.708000,4.263207,10,12,4
141,81.900000,71.935500,4.192429,10,12,4
142,81.900000,71.178500,4.404374,10,12,4
143,81.900000,71.363500,4.230791,10,12,4
144,81.900000,71.370000,4.694422,10,12,4
145,81.900000,71.162000,4.446190,10,12,4
146,81.900000,71.649500,4.129270,10,12,4
147,81.900000,71.207500,4.515863,10,12,4
148,81.900000,71.402500,4.634983,10,12,4
149,81.900000,71.604000,4.372640,10,12,4
150,81.900000,70.850000,4.606295,10,12,4
151,81.900000,71.376500,4.426395,10,12,4
152,81.900000,71.649500,4.396860,10,12,4
153,81.900000,71.636500,4.486691,10,12,4
154,81.900000,71.292000,4.580430,10,12,4
155,81.900000,71.675500,4.405499,10,12,4
156,81.900000,71.656000,4.515624,10,12,4
157,81.900000,71.604000,4.411120,10,12,4
158,81.900000,71.552000,4.530160,10,12,4
159,81.900000,71.695000,4.400361,10,12,4
160,81.900000,72.059000,4.063431,10,12,4
161,81.900000,71.708000,4.253285,10,12,4
162,81.900000,71.695000,4.147285,10,12,4
163,81.900000,71.974500,4.454141,10,12,4
164,81.900000,71.584500,4.483262,10,12,4
165,81.900000,72.163000,4.076884,10,12,4
166,81.900000,71.636500,4.543770,10,12,4
167,81.900000,71.617000,4.105181,10,12,4
168,81.900000,71.526000,4.344724,10,12,4
169,81.900000,72.039500,4.115126,10,12,4
170,81.900000,72.124000,4.377662,10,12,4
171,81.900000,71.565000,4.376291,10,12,4
172,81.900000,71.422000,4.596451,10,12,4
173,81.900000,71.636500,4.386701,10,12,4
174,81.900000,71.402500,4.515863,10,12,4
175,81.900000,71.545500,4.467780,10,12,4
176,81.900000,71.506500,4.469897,10,12,4
177,81.900000,71.487000,4.396980,10,12,4
178,81.900000,71.227000,4.373085,10,12,4
179,81.900000,71.441500,4.578783,10,12,4
180,81.900000,71.415500,4.359998,10,12,4
181,81.900000,71.318000,4.787178,10,12,4
182,81.900000,71.175000,4.486884,10,12,4
183,81.900000,71.331000,4.568182,10,12,4
184,81.900000,71.519500,4.602124,10,12,4
185,81.900000,71.311500,5.045185,10,12,4
186,81.900000,71.305000,4.214988,10,12,4
187,81.900000,71.480500,4.594774,10,12,4
188,81.900000,71.571500,4.547116,10,12,4
189,81.900000,71.207500,4.600214,10,12,4
190,81.900000,71.363500,4.765254,10,12,4
191,81.900000,71.246500,4.529427,10,12,4
192,81.900000,71.623500,4.348393,10,12,4
193,81.900000,71.285500,4.576900,10,12,4
194,81.900000,71.383000,4.561481,10,12,4
195,81.900000,71.487000,4.552766,10,12,4
196,81.900000,71.747000,4.232274,10,12,4
197,81.900000,71.831500,4.344310,10,12,4
198,81.900000,71.506500,4.105299,10,12,4
199,81.900000,71.662500,4.193760,10,12,4
200,81.900000,71.155500,4.711003,10,12,4
201,81.900000,71.825000,4.123788,10,12,4
202,81.900000,71.259500,4.735334,10,12,4
203,81.900000,71.350500,4.609829,10,12,4
204,81.900000,71.448000,4.437820,10,12,4
205,81.900000,71.292000,4.683501,10,12,4
206,81.900000,72.091500,4.022754,10,12,4
207,81.900000,71.506500,4.441451,10,12,4
208,81.900000,70.843500,4.542096,10,12,4
209,81.900000,71.662500,4.312959,10,12,4
210,81.900000,71.649500,4.130294,10,12,4
211,81.900000,71.695000,4.348204,10,12,4
212,81.900000,71.025500,4.721215,10,12,4
213,81.900000,71.610500,4.365228,10,12,4
214,81.900000,71.526000,4.618130,10,12,4
215,81.900000,71.734000,4.308201,10,12,4
216,81.900000,71.617000,4.500873,10,12,4
217,81.900000,71.344000,4.447748,10,12,4
218,81.900000,71.448000,4.381289,10,12,4
219,81.900000,71.357000,4.784971,10,12,4
220,81.900000,71.480500,4.141122,10,12,4
221,81.900000,71.194500,4.708311,10,12,4
222,81.900000,71.194500,4.728012,10,12,4
223,81.900000,71.883500,4.060388,10,12,4
224,81.900000,71.500000,4.408514,10,12,4
225,81.900000,71.864000,4.187655,10,12,4
226,81.900000,71.877000,4.241647,10,12,4
227,81.900000,71.968000,4.237561,10,12,4
228,81.900000,71.909500,4.333755,10,12,4
229,81.900000,71.649500,4.181127,10,12,4
230,81.900000,70.882500,5.042739,10,12,4
231,81.900000,71.929000,4.248654,10,12,4
232,81.900000,71.376500,4.809732,10,12,4
233,81.900000,71.519500,4.532747,10,12,4
234,81.900000,71.376500,4.773581,10,12,4
235,81.900000,71.467500,4.370374,10,12,4
236,81.900000,72.085000,4.048305,10,12,4
237,81.900000,71.714500,4.194445,10,12,4
238,81.900000,71.721000,4.519459,10,12,4
239,81.900000,71.812000,4.220978,10,12,4
240,81.900000,71.857500,4.509309,10,12,4
241,81.900000,71.292000,4.897809,10,12,4
242,81.900000,71.753500,4.194283,10,12,4
243,81.900000,71.032000,4.648368,10,12,4
244,81.900000,71.467500,4.670398,10,12,4
245,81.900000,71.948500,4.340613,10,12,4
246,81.900000,71.695000,4.693972,10,12,4
247,81.900000,71.994000,4.051039,10,12,4
248,81.900000,71.779500,4.117384,10,12,4
249,81.900000,71.760000,4.340910,10,12,4
250,81.900000,71.350500,4.463617,10,12,4
251,81.900000,71.617000,4.258745,10,12,4
252,81.900000,71.116500,4.519342,10,12,4
253,81.900000,71.870500,4.480999,10,12,4
254,81.900000,71.929000,4.266516,10,12,4
255,81.900000,71.610500,4.357478,10,12,4
256,81.900000,71.636500,4.425059,10,12,4
257,81.900000,71.799000,4.030440,10,12,4
258,81.900000,71.643000,4.351195,10,12,4
259,81.900000,70.999500,4.821278,10,12,4
260,81.900000,71.779500,4.432652,10,12,4
261,81.900000,70.720000,4.857201,10,12,4
262,81.900000,71.259500,4.713872,10,12,4
263,81.900000,71.558500,4.188437,10,12,4
264,81.900000,71.708000,4.247321,10,12,4
265,81.900000,71.012500,4.613054,10,12,4
266,81.900000,71.448000,4.344490,10,12,4
267,81.900000,71.929000,4.059478,10,12,4
268,81.900000,71.669000,4.331771,10,12,4
269,81.900000,71.630000,4.325309,10,12,4
270,81.900000,70.707000,4.806116,10,12,4
271,81.900000,71.422000,4.700071,10,12,4
272,81.900000,71.649500,4.368904,10,12,4
273,81.900000,71.766500,4.255485,10,12,4
274,81.900000,71.688500,4.624872,10,12,4
275,81.900000,71.402500,4.409832,10,12,4
276,81.900000,71.604000,4.398651,10,12,4
277,81.900000,71.266000,4.758355,10,12,4
278,81.900000,71.597500,4.563329,10,12,4
279,81.900000,71.708000,4.776399,10,12,4
280,81.900000,70.941000,4.873717,10,12,4
281,81.900000,71.558500,4.450573,10,12,4
282,81.900000,71.175000,4.484058,10,12,4
283,81.900000,71.838000,3.971367,10,12,4
284,81.900000,71.071000,4.138842,4,12,4
285,81.900000,71.077500,4.604804,10,12,4
286,83.850000,70.980000,4.772080,10,9,4
287,83.850000,71.402500,4.519604,10,9,4
288,83.850000,70.622500,4.816474,8,9,4
289,83.850000,71.305000,4.665986,5,9,4
290,83.850000,71.168500,5.070412,10,9,4
291,83.850000,70.876000,5.173869,10,9,4
292,83.850000,72.020000,4.214487,10,9,4
293,83.850000,71.825000,4.725370,10,9,4
294,83.850000,71.591000,4.661928,10,9,4
295,83.850000,71.051500,4.638919,4,9,4
296,83.850000,70.154500,5.308757,10,9,4
297,83.850000,71.331000,4.659752,10,9,4
298,83.850000,71.285500,4.678244,10,9,4
299,83.850000,71.090500,4.595877,10,9,4
300,83.850000,70.921500,5.017979,9,9,4
301,83.850000,71.552000,4.740706,10,9,4
302,83.850000,71.376500,4.800940,10,9,4
303,83.850000,71.474000,4.933941,10,9,4
304,83.850000,71.792500,4.431813,10,9,4
305,83.850000,71.402500,4.924045,9,9,4
306,83.850000,71.747000,4.836961,10,9,4
307,83.850000,71.103500,4.924491,10,9,4
308,83.850000,71.532500,4.644090,10,9,4
309,83.850000,71.071000,4.675683,10,9,4
310,83.850000,71.181500,4.629620,10,9,4
311,83.850000,71.064500,5.044984,10,9,4
312,83.850000,71.643000,4.441531,2,9,4
313,83.850000,71.513000,4.748987,10,9,4
314,83.850000,71.142500,4.833986,10,9,4
315,83.850000,71.383000,4.653183,10,9,4
316,83.850000,71.584500,4.549680,10,9,4
317,83.850000,71.747000,4.932108,10,9,4
318,83.850000,71.480500,4.931830,10,9,4
319,83.850000,71.857500,4.757338,10,9,4
320,83.850000,71.194500,5.031063,10,9,4
321,83.850000,71.747000,4.399669,10,9,4
322,83.850000,71.636500,4.662177,10,9,4
323,83.850000,71.675500,4.838773,10,9,4
324,83.850000,71.597500,4.689357,10,9,4
325,83.850000,71.513000,4.836262,10,9,4
326,83.850000,71.103500,4.857979,10,9,4
327,83.850000,71.298500,4.636186,10,9,4
328,83.850000,72.020000,4.462807,10,9,4
329,83.850000,71.506500,4.799003,10,9,4
330,83.850000,71.097000,4.752367,10,9,4
331,83.850000,71.188000,4.907806,10,9,4
332,83.850000,71.766500,4.718745,10,9,4
333,83.850000,71.792500,4.812086,10,9,4
334,83.850000,72.286500,4.654014,10,9,4
335,83.850000,71.695000,4.633274,10,9,4
336,83.850000,71.558500,4.757978,10,9,4
337,83.850000,71.591000,4.792418,10,9,4
338,83.850000,71.890000,4.622775,10,9,4
339,83.850000,71.812000,4.614982,10,9,4
340,83.850000,71.747000,4.805413,10,9,4
341,83.850000,71.773000,4.818934,10,9,4
342,83.850000,72.124000,4.679025,10,9,4
343,83.850000,72.306000,4.612821,10,9,4
344,83.850000,71.272500,4.853176,10,9,4
345,83.850000,72.163000,4.575908,10,9,4
346,83.850000,71.877000,4.684674,10,9,4
347,83.850000,71.721000,5.064347,10,9,4
348,83.850000,71.259500,4.976348,10,9,4
349,83.850000,71.844500,4.637790,10,9,4
350,83.850000,71.513000,4.985106,10,9,4
351,83.850000,71.396000,4.874324,10,9,4
352,83.850000,71.831500,4.713728,10,9,4
353,83.850000,71.630000,4.757893,10,9,4
354,83.850000,71.604000,4.858697,10,9,4
355,83.850000,71.903000,4.739013,10,9,4
356,83.850000,71.617000,4.987987,10,9,4
357,83.850000,72.104500,4.403005,10,9,4
358,83.850000,71.818500,4.820086,10,9,4
359,83.850000,72.143500,4.793718,10,9,4
360,83.850000,71.708000,4.851874,10,9,4
361,83.850000,72.163000,4.645550,10,9,4
362,83.850000,72.345000,4.702964,10,9,4
363,83.850000,71.864000,5.086075,10,9,4
364,83.850000,71.617000,5.001521,10,9,4
365,83.850000,72.000500,4.607996,10,9,4
366,83.850000,71.636500,4.865279,10,9,4
367,83.850000,72.332000,4.651094,10,9,4
368,83.850000,71.870500,4.713513,10,9,4
369,83.850000,71.441500,5.109922,10,9,4
370,83.850000,71.721000,5.055162,10,9,4
371,83.850000,71.688500,4.796185,10,9,4
372,83.850000,71.610500,4.736583,10,9,4
373,83.850000,71.422000,5.040145,10,9,4
374,83.850000,71.727500,5.131605,10,9,4
375,83.850000,71.402500,4.998982,10,9,4
376,83.850000,71.448000,4.628876,10,9,4
377,83.850000,71.656000,4.622885,10,9,4
378,83.850000,71.903000,4.663522,10,9,4
379,83.850000,72.358000,4.721238,10,9,4
380,83.850000,71.545500,4.979403,10,9,4
381,83.850000,72.007000,4.580153,10,9,4
382,83.850000,71.591000,4.955388,10,9,4
383,83.850000,72.007000,4.901862,10,9,4
384,83.850000,71.955000,4.572693,10,9,4
385,83.850000,72.319000,4.581112,10,9,4
386,83.850000,72.020000,5.177200,10,9,4
387,83.850000,71.948500,4.635275,10,9,4
388,83.850000,72.208500,4.776589,10,9,4
389,83.850000,72.052500,5.088612,10,9,4
390,83.850000,72.345000,4.803408,10,9,4
391,83.850000,72.163000,4.780024,10,9,4
392,83.850000,71.779500,4.811102,10,9,4
393,83.850000,72.176000,4.514502,10,9,4
394,83.850000,72.007000,4.757520,10,9,4
395,83.850000,71.565000,5.167807,10,9,4
396,83.850000,72.176000,4.539700,10,9,4
397,83.850000,72.501000,4.921509,10,9,4
398,83.850000,71.591000,4.905687,10,9,4
399,83.850000,72.091500,4.752647,10,9,4
400,83.850000,72.455500,4.555990,10,9,4
401,83.850000,71.623500,4.975532,10,9,4
402,83.850000,71.799000,4.914636,10,9,4
403,83.850000,72.052500,5.137365,10,9,4
404,83.850000,71.669000,4.802634,10,9,4
405,83.850000,72.195500,4.425020,10,9,4
406,83.850000,71.786000,4.935996,10,9,4
407,83.850000,71.994000,4.825890,10,9,4
408,83.850000,72.124000,4.733785,10,9,4
409,83.850000,72.085000,4.702964,10,9,4
410,83.850000,71.792500,5.095250,10,9,4
411,83.850000,71.864000,5.020862,10,9,4
412,83.850000,71.454500,5.095979,10,9,4
413,83.850000,71.851000,4.763591,10,9,4
414,83.850000,72.189000,4.701455,10,9,4
415,83.850000,71.558500,5.187876,10,9,4
416,83.850000,72.143500,4.724472,10,9,4
417,83.850000,71.714500,4.948592,10,9,4
418,83.850000,72.280000,4.609962,10,9,4
419,83.850000,72.124000,4.883157,10,9,4
420,83.850000,71.779500,4.802312,10,9,4
421,83.850000,71.448000,4.803566,10,9,4
422,83.850000,71.393000,4.940314,10,9,4
423,83.850000,71.890000,4.734749,10,9,4
424,83.850000,71.955000,4.522524,10,9,4
425,83.850000,71.536000,4.879124,10,9,4
426,83.850000,71.779500,4.884312,10,9,4
427,83.850000,71.714500,4.499629,10,9,4
428,83.850000,71.662500,4.912018,10,9,4
429,83.850000,71.909500,4.425402,10,9,4
430,83.850000,71.779500,4.795269,10,9,4
431,83.850000,72.007000,4.687739,10,9,4
432,83.850000,71.974500,4.866634,10,9,4
433,83.850000,71.929000,5.057668,10,9,4
434,83.850000,71.701500,5.085555,10,9,4
435,83.850000,72.039500,4.768586,10,9,4
436,83.850000,72.137000,4.632799,10,9,4
437,83.850000,71.831500,4.885385,10,9,4
438,83.850000,71.857500,5.041063,10,9,4
